sale_id,store_id,product_id,quantity,sale_date,amount
S0001,ST01,P001,10,2024-01-05,24.90
S0002,ST01,P004,5,2024-01-05,14.95
S0003,ST02,P007,,2024-01-06,16.77
S0004,ST03,P010,3,2024-01-06,
S0005,ST04,P013,8,2024-01-07,27.92
S0006,ST05,P016,12,2024-01-07,35.88
S0007,ST06,P002,6,2024-01-08,23.94
S0008,ST07,P012,,2024-01-08,
S0009,ST08,P011,4,2024-01-09,37.96
S0010,ST09,P017,20,2024-01-09,65.80
S0011,ST10,P003,7,2024-01-10,30.03
S0012,ST11,P008,15,2024-01-10,41.85
S0013,ST12,P014,9,2024-01-11,20.61
S0014,ST13,P018,,2024-01-11,59.90
S0015,ST14,P005,5,2024-01-12,27.45
S0016,ST15,P009,11,2024-01-12,16.39
S0017,ST01,P006,6,2024-01-13,29.94
S0018,ST02,P015,10,2024-01-13,15.90
S0001,ST01,P001,10,2024-01-05,24.90
S0019,ST03,P001,20,2024-01-14,49.80
S0020,ST04,P002,,2024-01-14,27.93
S0010,ST09,P017,20,2024-01-09,65.80
